sex,age_days,l,m,s
1,328,1.00000,74.26180,0.03123
1,329,1.00000,74.30260,0.03124
1,330,1.00000,74.34330,0.03124
1,331,1.00000,74.38410,0.03124
1,332,1.00000,74.42470,0.03124
1,333,1.00000,74.46530,0.03125
1,334,1.00000,74.50590,0.03125
1,335,1.00000,74.54640,0.03125
1,336,1.00000,74.58680,0.03126
1,337,1.00000,74.62720,0.03126
1,338,1.00000,74.66760,0.03126
1,339,1.00000,74.70790,0.03127
1,340,1.00000,74.74810,0.03127
1,341,1.00000,74.78830,0.03127
1,342,1.00000,74.82850,0.03128
1,343,1.00000,74.86860,0.03128
1,344,1.00000,74.90860,0.03128
1,345,1.00000,74.94860,0.03129
1,346,1.00000,74.98860,0.03129
1,347,1.00000,75.02850,0.03130
1,348,1.00000,75.06830,0.03130
1,349,1.00000,75.10810,0.03130
1,350,1.00000,75.14790,0.03131
1,351,1.00000,75.18760,0.03131
1,352,1.00000,75.22730,0.03132
1,353,1.00000,75.26690,0.03132
1,354,1.00000,75.30650,0.03132
1,355,1.00000,75.34600,0.03133
1,356,1.00000,75.38550,0.03133
1,357,1.00000,75.42500,0.03134
1,358,1.00000,75.46440,0.03134
1,359,1.00000,75.50370,0.03135
1,360,1.00000,75.54310,0.03135
1,361,1.00000,75.58240,0.03136
1,362,1.00000,75.62160,0.03136
1,363,1.00000,75.66080,0.03136
1,364,1.00000,75.69990,0.03137
1,365,1.00000,75.73910,0.03137
1,366,1.00000,75.77810,0.03138
1,367,1.00000,75.81720,0.03138
1,368,1.00000,75.85620,0.03139
1,369,1.00000,75.89510,0.03139
1,370,1.00000,75.93400,0.03140
1,371,1.00000,75.97290,0.03140
1,372,1.00000,76.01170,0.03141
1,373,1.00000,76.05050,0.03141
1,374,1.00000,76.08920,0.03142
1,375,1.00000,76.12790,0.03142
1,376,1.00000,76.16650,0.03143
1,377,1.00000,76.20510,0.03143
1,378,1.00000,76.24370,0.03144
1,379,1.00000,76.28220,0.03144
1,380,1.00000,76.32070,0.03145
1,381,1.00000,76.35910,0.03146
1,382,1.00000,76.39750,0.03146
1,383,1.00000,76.43580,0.03147
1,384,1.00000,76.47410,0.03147
1,385,1.00000,76.51240,0.03148
1,386,1.00000,76.55060,0.03148
1,387,1.00000,76.58880,0.03149
1,388,1.00000,76.62690,0.03149
1,389,1.00000,76.66500,0.03150
1,390,1.00000,76.70300,0.03151
1,391,1.00000,76.74100,0.03151
1,392,1.00000,76.77900,0.03152
1,393,1.00000,76.81690,0.03152
1,394,1.00000,76.85480,0.03153
1,395,1.00000,76.89260,0.03154
1,396,1.00000,76.93040,0.03154
1,397,1.00000,76.96820,0.03155
1,398,1.00000,77.00590,0.03155
1,399,1.00000,77.04350,0.03156
1,400,1.00000,77.08120,0.03157
1,401,1.00000,77.11870,0.03157
1,402,1.00000,77.15630,0.03158
1,403,1.00000,77.19380,0.03159
1,404,1.00000,77.23130,0.03159
1,405,1.00000,77.26870,0.03160
1,406,1.00000,77.30600,0.03160
1,407,1.00000,77.34340,0.03161
1,408,1.00000,77.38070,0.03162
1,409,1.00000,77.41790,0.03162
1,410,1.00000,77.45510,0.03163
1,411,1.00000,77.49230,0.03164
1,412,1.00000,77.52950,0.03164
1,413,1.00000,77.56650,0.03165
1,414,1.00000,77.60360,0.03166
1,415,1.00000,77.64060,0.03166
1,416,1.00000,77.67760,0.03167
1,417,1.00000,77.71450,0.03168
1,418,1.00000,77.75140,0.03168
1,419,1.00000,77.78830,0.03169
1,420,1.00000,77.82510,0.03170
1,421,1.00000,77.86180,0.03170
1,422,1.00000,77.89860,0.03171
1,423,1.00000,77.93530,0.03172
1,424,1.00000,77.97190,0.03172
1,425,1.00000,78.00850,0.03173
1,426,1.00000,78.04510,0.03174
1,427,1.00000,78.08170,0.03175
1,428,1.00000,78.11820,0.03175
1,429,1.00000,78.15460,0.03176
1,430,1.00000,78.19110,0.03177
1,431,1.00000,78.22750,0.03177
1,432,1.00000,78.26380,0.03178
1,433,1.00000,78.30010,0.03179
1,434,1.00000,78.33640,0.03180
1,435,1.00000,78.37270,0.03180
1,436,1.00000,78.40890,0.03181
1,437,1.00000,78.44510,0.03182
1,438,1.00000,78.48120,0.03183
1,439,1.00000,78.51730,0.03183
1,440,1.00000,78.55340,0.03184
1,441,1.00000,78.58940,0.03185
1,442,1.00000,78.62540,0.03186
1,443,1.00000,78.66140,0.03186
1,444,1.00000,78.69730,0.03187
1,445,1.00000,78.73320,0.03188
1,446,1.00000,78.76910,0.03189
1,447,1.00000,78.80490,0.03189
1,448,1.00000,78.84070,0.03190
1,449,1.00000,78.87640,0.03191
1,450,1.00000,78.91220,0.03192
1,451,1.00000,78.94790,0.03192
1,452,1.00000,78.98350,0.03193
1,453,1.00000,79.01910,0.03194
1,454,1.00000,79.05470,0.03195
1,455,1.00000,79.09030,0.03196
1,456,1.00000,79.12580,0.03196
1,457,1.00000,79.16130,0.03197
1,458,1.00000,79.19680,0.03198
1,459,1.00000,79.23220,0.03199
1,460,1.00000,79.26760,0.03200
1,461,1.00000,79.30300,0.03200
1,462,1.00000,79.33830,0.03201
1,463,1.00000,79.37360,0.03202
1,464,1.00000,79.40890,0.03203
1,465,1.00000,79.44410,0.03204
1,466,1.00000,79.47930,0.03204
1,467,1.00000,79.51450,0.03205
1,468,1.00000,79.54960,0.03206
1,469,1.00000,79.58470,0.03207
1,470,1.00000,79.61980,0.03208
1,471,1.00000,79.65480,0.03209
1,472,1.00000,79.68980,0.03209
1,473,1.00000,79.72480,0.03210
1,474,1.00000,79.75980,0.03211
1,475,1.00000,79.79470,0.03212
1,476,1.00000,79.82960,0.03213
1,477,1.00000,79.86440,0.03214
1,478,1.00000,79.89930,0.03214
1,479,1.00000,79.93410,0.03215
1,480,1.00000,79.96880,0.03216
1,481,1.00000,80.00360,0.03217
1,482,1.00000,80.03830,0.03218
1,483,1.00000,80.07290,0.03219
1,484,1.00000,80.10760,0.03220
1,485,1.00000,80.14220,0.03220
1,486,1.00000,80.17680,0.03221
1,487,1.00000,80.21130,0.03222
1,488,1.00000,80.24590,0.03223
1,489,1.00000,80.28040,0.03224
1,490,1.00000,80.31480,0.03225
1,491,1.00000,80.34930,0.03226
1,492,1.00000,80.38370,0.03226
1,493,1.00000,80.41810,0.03227
1,494,1.00000,80.45240,0.03228
1,495,1.00000,80.48670,0.03229
1,496,1.00000,80.52100,0.03230
1,497,1.00000,80.55530,0.03231
1,498,1.00000,80.58950,0.03232
1,499,1.00000,80.62370,0.03233
1,500,1.00000,80.65780,0.03234
1,501,1.00000,80.69200,0.03234
1,502,1.00000,80.72610,0.03235
1,503,1.00000,80.76020,0.03236
1,504,1.00000,80.79420,0.03237
1,505,1.00000,80.82820,0.03238
1,506,1.00000,80.86220,0.03239
1,507,1.00000,80.89610,0.03240
1,508,1.00000,80.93010,0.03241
1,509,1.00000,80.96400,0.03242
1,510,1.00000,80.99780,0.03243
1,511,1.00000,81.03170,0.03244
1,512,1.00000,81.06550,0.03245
1,513,1.00000,81.09920,0.03245
1,514,1.00000,81.13300,0.03246
1,515,1.00000,81.16670,0.03247
1,516,1.00000,81.20040,0.03248
1,517,1.00000,81.23400,0.03249
1,518,1.00000,81.26770,0.03250
1,519,1.00000,81.30130,0.03251
1,520,1.00000,81.33480,0.03252
1,521,1.00000,81.36840,0.03253
1,522,1.00000,81.40190,0.03254
1,523,1.00000,81.43530,0.03255
1,524,1.00000,81.46880,0.03256
1,525,1.00000,81.50220,0.03257
1,526,1.00000,81.53560,0.03258
1,527,1.00000,81.56900,0.03259
1,528,1.00000,81.60230,0.03260
1,529,1.00000,81.63560,0.03261
1,530,1.00000,81.66890,0.03261
1,531,1.00000,81.70210,0.03262
1,532,1.00000,81.73530,0.03263
1,533,1.00000,81.76850,0.03264
1,534,1.00000,81.80170,0.03265
1,535,1.00000,81.83480,0.03266
1,536,1.00000,81.86790,0.03267
1,537,1.00000,81.90090,0.03268
1,538,1.00000,81.93400,0.03269
1,539,1.00000,81.96700,0.03270
1,540,1.00000,82.00000,0.03271
1,541,1.00000,82.03290,0.03272
1,542,1.00000,82.06590,0.03273
1,543,1.00000,82.09870,0.03274
1,544,1.00000,82.13160,0.03275
1,545,1.00000,82.16440,0.03276
1,546,1.00000,82.19730,0.03277
1,547,1.00000,82.23000,0.03278
1,548,1.00000,82.26280,0.03279
1,549,1.00000,82.29550,0.03280
1,550,1.00000,82.32820,0.03281
1,551,1.00000,82.36090,0.03282
1,552,1.00000,82.39350,0.03283
1,553,1.00000,82.42610,0.03284
1,554,1.00000,82.45870,0.03285
1,555,1.00000,82.49120,0.03286
1,556,1.00000,82.52370,0.03287
1,557,1.00000,82.55620,0.03288
1,558,1.00000,82.58870,0.03289
1,559,1.00000,82.62110,0.03290
1,560,1.00000,82.65350,0.03291
1,561,1.00000,82.68590,0.03292
1,562,1.00000,82.71820,0.03293
1,563,1.00000,82.75050,0.03294
1,564,1.00000,82.78280,0.03295
1,565,1.00000,82.81510,0.03296
1,566,1.00000,82.84730,0.03297
1,567,1.00000,82.87950,0.03298
1,568,1.00000,82.91170,0.03299
1,569,1.00000,82.94380,0.03300
1,570,1.00000,82.97590,0.03301
1,571,1.00000,83.00800,0.03302
1,572,1.00000,83.04000,0.03303
1,573,1.00000,83.07210,0.03304
1,574,1.00000,83.10410,0.03305
1,575,1.00000,83.13600,0.03306
1,576,1.00000,83.16800,0.03308
1,577,1.00000,83.19990,0.03309
1,578,1.00000,83.23180,0.03310
1,579,1.00000,83.26370,0.03311
1,580,1.00000,83.29550,0.03312
1,581,1.00000,83.32730,0.03313
1,582,1.00000,83.35910,0.03314
1,583,1.00000,83.39080,0.03315
1,584,1.00000,83.42260,0.03316
1,585,1.00000,83.45430,0.03317
1,586,1.00000,83.48590,0.03318
1,587,1.00000,83.51760,0.03319
1,588,1.00000,83.54920,0.03320
1,589,1.00000,83.58080,0.03321
1,590,1.00000,83.61240,0.03322
1,591,1.00000,83.64390,0.03323
1,592,1.00000,83.67540,0.03324
1,593,1.00000,83.70690,0.03325
1,594,1.00000,83.73840,0.03326
1,595,1.00000,83.76980,0.03327
1,596,1.00000,83.80120,0.03329
1,597,1.00000,83.83260,0.03330
1,598,1.00000,83.86400,0.03331
1,599,1.00000,83.89530,0.03332
1,600,1.00000,83.92670,0.03333
1,601,1.00000,83.95790,0.03334
1,602,1.00000,83.98920,0.03335
1,603,1.00000,84.02050,0.03336
1,604,1.00000,84.05170,0.03337
1,605,1.00000,84.08290,0.03338
1,606,1.00000,84.11400,0.03339
1,607,1.00000,84.14520,0.03340
1,608,1.00000,84.17630,0.03341
1,609,1.00000,84.20740,0.03342
1,610,1.00000,84.23850,0.03344
1,611,1.00000,84.26950,0.03345
1,612,1.00000,84.30060,0.03346
1,613,1.00000,84.33160,0.03347
1,614,1.00000,84.36260,0.03348
1,615,1.00000,84.39350,0.03349
1,616,1.00000,84.42450,0.03350
1,617,1.00000,84.45540,0.03351
1,618,1.00000,84.48620,0.03352
1,619,1.00000,84.51710,0.03353
1,620,1.00000,84.54790,0.03354
1,621,1.00000,84.57870,0.03356
1,622,1.00000,84.60950,0.03357
1,623,1.00000,84.64030,0.03358
1,624,1.00000,84.67100,0.03359
1,625,1.00000,84.70170,0.03360
1,626,1.00000,84.73240,0.03361
1,627,1.00000,84.76310,0.03362
1,628,1.00000,84.79370,0.03363
1,629,1.00000,84.82430,0.03364
1,630,1.00000,84.85490,0.03365
1,631,1.00000,84.88550,0.03367
1,632,1.00000,84.91600,0.03368
1,633,1.00000,84.94650,0.03369
1,634,1.00000,84.97700,0.03370
