sex,height_cm,l,m,s
1,86.10000,-0.35210,11.94210,0.08118
1,86.20000,-0.35210,11.96680,0.08114
1,86.30000,-0.35210,11.99160,0.08111
1,86.40000,-0.35210,12.01630,0.08108
1,86.50000,-0.35210,12.04110,0.08105
1,86.60000,-0.35210,12.06580,0.08102
1,86.70000,-0.35210,12.09050,0.08099
1,86.80000,-0.35210,12.11520,0.08096
1,86.90000,-0.35210,12.13980,0.08093
1,87.00000,-0.35210,12.16450,0.08090
1,87.10000,-0.35210,12.18910,0.08087
1,87.20000,-0.35210,12.21360,0.08084
1,87.30000,-0.35210,12.23820,0.08082
1,87.40000,-0.35210,12.26270,0.08079
1,87.50000,-0.35210,12.28710,0.08076
1,87.60000,-0.35210,12.31160,0.08074
1,87.70000,-0.35210,12.33600,0.08071
1,87.80000,-0.35210,12.36030,0.08069
1,87.90000,-0.35210,12.38460,0.08067
1,88.00000,-0.35210,12.40890,0.08064
1,88.10000,-0.35210,12.43320,0.08062
1,88.20000,-0.35210,12.45740,0.08060
1,88.30000,-0.35210,12.48150,0.08058
1,88.40000,-0.35210,12.50570,0.08056
1,88.50000,-0.35210,12.52980,0.08054
1,88.60000,-0.35210,12.55380,0.08052
1,88.70000,-0.35210,12.57780,0.08050
1,88.80000,-0.35210,12.60170,0.08048
1,88.90000,-0.35210,12.62570,0.08047
1,89.00000,-0.35210,12.64950,0.08045
1,89.10000,-0.35210,12.67340,0.08044
1,89.20000,-0.35210,12.69720,0.08042
1,89.30000,-0.35210,12.72090,0.08041
1,89.40000,-0.35210,12.74460,0.08039
1,89.50000,-0.35210,12.76830,0.08038
1,89.60000,-0.35210,12.79200,0.08037
1,89.70000,-0.35210,12.81560,0.08035
1,89.80000,-0.35210,12.83920,0.08034
1,89.90000,-0.35210,12.86280,0.08033
1,90.00000,-0.35210,12.88640,0.08032
1,90.10000,-0.35210,12.90990,0.08031
1,90.20000,-0.35210,12.93340,0.08030
1,90.30000,-0.35210,12.95690,0.08030
1,90.40000,-0.35210,12.98040,0.08029
1,90.50000,-0.35210,13.00380,0.08028
1,90.60000,-0.35210,13.02730,0.08027
1,90.70000,-0.35210,13.05070,0.08027
1,90.80000,-0.35210,13.07420,0.08026
1,90.90000,-0.35210,13.09760,0.08026
1,91.00000,-0.35210,13.12090,0.08025
1,91.10000,-0.35210,13.14430,0.08025
1,91.20000,-0.35210,13.16770,0.08025
1,91.30000,-0.35210,13.19100,0.08025
1,91.40000,-0.35210,13.21430,0.08025
1,91.50000,-0.35210,13.23760,0.08024
1,91.60000,-0.35210,13.26090,0.08024
1,91.70000,-0.35210,13.28420,0.08024
1,91.80000,-0.35210,13.30750,0.08025
1,91.90000,-0.35210,13.33080,0.08025
1,92.00000,-0.35210,13.35410,0.08025
1,92.10000,-0.35210,13.37730,0.08025
1,92.20000,-0.35210,13.40060,0.08026
1,92.30000,-0.35210,13.42390,0.08026
1,92.40000,-0.35210,13.44720,0.08027
1,92.50000,-0.35210,13.47050,0.08027
1,92.60000,-0.35210,13.49370,0.08028
1,92.70000,-0.35210,13.51710,0.08028
1,92.80000,-0.35210,13.54040,0.08029
1,92.90000,-0.35210,13.56370,0.08030
1,93.00000,-0.35210,13.58700,0.08031
1,93.10000,-0.35210,13.61040,0.08032
1,93.20000,-0.35210,13.63380,0.08033
1,93.30000,-0.35210,13.65720,0.08034
1,93.40000,-0.35210,13.68060,0.08035
1,93.50000,-0.35210,13.70410,0.08036
1,93.60000,-0.35210,13.72750,0.08037
1,93.70000,-0.35210,13.75100,0.08038
1,93.80000,-0.35210,13.77460,0.08040
1,93.90000,-0.35210,13.79810,0.08041
1,94.00000,-0.35210,13.82170,0.08043
1,94.10000,-0.35210,13.84540,0.08044
1,94.20000,-0.35210,13.86910,0.08046
1,94.30000,-0.35210,13.89280,0.08047
1,94.40000,-0.35210,13.91650,0.08049
1,94.50000,-0.35210,13.94030,0.08051
1,94.60000,-0.35210,13.96420,0.08052
1,94.70000,-0.35210,13.98810,0.08054
1,94.80000,-0.35210,14.01200,0.08056
1,94.90000,-0.35210,14.03600,0.08058
1,95.00000,-0.35210,14.06000,0.08060
1,95.10000,-0.35210,14.08410,0.08062
1,95.20000,-0.35210,14.10830,0.08064
1,95.30000,-0.35210,14.13250,0.08067
1,95.40000,-0.35210,14.15670,0.08069
1,95.50000,-0.35210,14.18110,0.08071
1,95.60000,-0.35210,14.20550,0.08073
1,95.70000,-0.35210,14.22990,0.08076
1,95.80000,-0.35210,14.25440,0.08078
1,95.90000,-0.35210,14.27900,0.08081
1,96.00000,-0.35210,14.30370,0.08083
1,96.10000,-0.35210,14.32840,0.08086
1,96.20000,-0.35210,14.35330,0.08089
1,96.30000,-0.35210,14.37820,0.08092
1,96.40000,-0.35210,14.40310,0.08094
1,96.50000,-0.35210,14.42820,0.08097
1,96.60000,-0.35210,14.45330,0.08100
1,96.70000,-0.35210,14.47850,0.08103
1,96.80000,-0.35210,14.50380,0.08106
1,96.90000,-0.35210,14.52920,0.08109
1,97.00000,-0.35210,14.55470,0.08112
1,97.10000,-0.35210,14.58020,0.08116
1,97.20000,-0.35210,14.60580,0.08119
1,97.30000,-0.35210,14.63160,0.08122
1,97.40000,-0.35210,14.65740,0.08125
1,97.50000,-0.35210,14.68320,0.08129
1,97.60000,-0.35210,14.70920,0.08132
1,97.70000,-0.35210,14.73530,0.08136
1,97.80000,-0.35210,14.76140,0.08139
1,97.90000,-0.35210,14.78770,0.08143
1,98.00000,-0.35210,14.81400,0.08146
1,98.10000,-0.35210,14.84040,0.08150
1,98.20000,-0.35210,14.86690,0.08154
1,98.30000,-0.35210,14.89340,0.08157
1,98.40000,-0.35210,14.92010,0.08161
1,98.50000,-0.35210,14.94680,0.08165
1,98.60000,-0.35210,14.97360,0.08169
1,98.70000,-0.35210,15.00050,0.08173
1,98.80000,-0.35210,15.02750,0.08177
1,98.90000,-0.35210,15.05460,0.08181
1,99.00000,-0.35210,15.08180,0.08185
1,99.10000,-0.35210,15.10900,0.08189
1,99.20000,-0.35210,15.13630,0.08194
1,99.30000,-0.35210,15.16370,0.08198
1,99.40000,-0.35210,15.19120,0.08202
1,99.50000,-0.35210,15.21870,0.08206
1,99.60000,-0.35210,15.24630,0.08211
1,99.70000,-0.35210,15.27400,0.08215
1,99.80000,-0.35210,15.30180,0.08220
1,99.90000,-0.35210,15.32970,0.08224
1,100.00000,-0.35210,15.35760,0.08229
1,100.10000,-0.35210,15.38560,0.08233
1,100.20000,-0.35210,15.41370,0.08238
1,100.30000,-0.35210,15.44190,0.08243
1,100.40000,-0.35210,15.47010,0.08247
1,100.50000,-0.35210,15.49850,0.08252
1,100.60000,-0.35210,15.52680,0.08257
1,100.70000,-0.35210,15.55530,0.08262
1,100.80000,-0.35210,15.58380,0.08267
1,100.90000,-0.35210,15.61250,0.08272
1,101.00000,-0.35210,15.64120,0.08277
1,101.10000,-0.35210,15.66990,0.08281
1,101.20000,-0.35210,15.69870,0.08287
1,101.30000,-0.35210,15.72760,0.08292
1,101.40000,-0.35210,15.75660,0.08297
1,101.50000,-0.35210,15.78570,0.08302
1,101.60000,-0.35210,15.81480,0.08307
1,101.70000,-0.35210,15.84400,0.08312
1,101.80000,-0.35210,15.87320,0.08317
1,101.90000,-0.35210,15.90260,0.08322
1,102.00000,-0.35210,15.93200,0.08328
1,102.10000,-0.35210,15.96150,0.08333
1,102.20000,-0.35210,15.99100,0.08338
1,102.30000,-0.35210,16.02060,0.08343
1,102.40000,-0.35210,16.05030,0.08349
1,102.50000,-0.35210,16.08010,0.08354
1,102.60000,-0.35210,16.10990,0.08359
1,102.70000,-0.35210,16.13980,0.08365
1,102.80000,-0.35210,16.16970,0.08370
1,102.90000,-0.35210,16.19970,0.08376
1,103.00000,-0.35210,16.22980,0.08381
1,103.10000,-0.35210,16.26000,0.08386
1,103.20000,-0.35210,16.29020,0.08392
1,103.30000,-0.35210,16.32040,0.08397
1,103.40000,-0.35210,16.35080,0.08403
1,103.50000,-0.35210,16.38120,0.08408
1,103.60000,-0.35210,16.41170,0.08414
1,103.70000,-0.35210,16.44220,0.08419
1,103.80000,-0.35210,16.47280,0.08425
1,103.90000,-0.35210,16.50350,0.08431
1,104.00000,-0.35210,16.53420,0.08436
1,104.10000,-0.35210,16.56500,0.08442
1,104.20000,-0.35210,16.59590,0.08447
1,104.30000,-0.35210,16.62680,0.08453
1,104.40000,-0.35210,16.65790,0.08458
1,104.50000,-0.35210,16.68890,0.08464
1,104.60000,-0.35210,16.72010,0.08470
1,104.70000,-0.35210,16.75130,0.08475
1,104.80000,-0.35210,16.78260,0.08481
1,104.90000,-0.35210,16.81390,0.08487
1,105.00000,-0.35210,16.84540,0.08493
1,105.10000,-0.35210,16.87690,0.08498
1,105.20000,-0.35210,16.90840,0.08504
1,105.30000,-0.35210,16.94010,0.08510
1,105.40000,-0.35210,16.97180,0.08516
1,105.50000,-0.35210,17.00360,0.08521
1,105.60000,-0.35210,17.03550,0.08527
1,105.70000,-0.35210,17.06740,0.08533
1,105.80000,-0.35210,17.09950,0.08539
1,105.90000,-0.35210,17.13160,0.08545
1,106.00000,-0.35210,17.16370,0.08551
1,106.10000,-0.35210,17.19600,0.08557
1,106.20000,-0.35210,17.22830,0.08562
1,106.30000,-0.35210,17.26070,0.08568
1,106.40000,-0.35210,17.29310,0.08574
1,106.50000,-0.35210,17.32560,0.08580
1,106.60000,-0.35210,17.35820,0.08586
1,106.70000,-0.35210,17.39090,0.08592
1,106.80000,-0.35210,17.42370,0.08599
1,106.90000,-0.35210,17.45650,0.08605
1,107.00000,-0.35210,17.48940,0.08611
1,107.10000,-0.35210,17.52240,0.08617
1,107.20000,-0.35210,17.55540,0.08623
1,107.30000,-0.35210,17.58850,0.08629
1,107.40000,-0.35210,17.62170,0.08635
1,107.50000,-0.35210,17.65500,0.08641
1,107.60000,-0.35210,17.68840,0.08648
1,107.70000,-0.35210,17.72180,0.08654
1,107.80000,-0.35210,17.75530,0.08660
1,107.90000,-0.35210,17.78890,0.08666
1,108.00000,-0.35210,17.82260,0.08673
1,108.10000,-0.35210,17.85640,0.08679
1,108.20000,-0.35210,17.89030,0.08685
1,108.30000,-0.35210,17.92420,0.08691
1,108.40000,-0.35210,17.95830,0.08698
1,108.50000,-0.35210,17.99240,0.08704
1,108.60000,-0.35210,18.02670,0.08710
1,108.70000,-0.35210,18.06100,0.08717
1,108.80000,-0.35210,18.09540,0.08723
1,108.90000,-0.35210,18.12990,0.08730
1,109.00000,-0.35210,18.16450,0.08736
1,109.10000,-0.35210,18.19920,0.08742
1,109.20000,-0.35210,18.23400,0.08749
1,109.30000,-0.35210,18.26890,0.08755
1,109.40000,-0.35210,18.30390,0.08762
1,109.50000,-0.35210,18.33900,0.08768
1,109.60000,-0.35210,18.37420,0.08774
1,109.70000,-0.35210,18.40940,0.08781
1,109.80000,-0.35210,18.44480,0.08787
1,109.90000,-0.35210,18.48020,0.08794
1,110.00000,-0.35210,18.51580,0.08800
1,110.10000,-0.35210,18.55140,0.08806
1,110.20000,-0.35210,18.58710,0.08813
1,110.30000,-0.35210,18.62290,0.08819
1,110.40000,-0.35210,18.65880,0.08826
1,110.50000,-0.35210,18.69480,0.08832
1,110.60000,-0.35210,18.73080,0.08838
1,110.70000,-0.35210,18.76700,0.08845
1,110.80000,-0.35210,18.80320,0.08851
1,110.90000,-0.35210,18.83950,0.08858
1,111.00000,-0.35210,18.87590,0.08864
1,111.10000,-0.35210,18.91230,0.08871
1,111.20000,-0.35210,18.94890,0.08877
1,111.30000,-0.35210,18.98550,0.08883
1,111.40000,-0.35210,19.02220,0.08890
1,111.50000,-0.35210,19.05900,0.08896
1,111.60000,-0.35210,19.09580,0.08903
1,111.70000,-0.35210,19.13270,0.08909
1,111.80000,-0.35210,19.16970,0.08915
1,111.90000,-0.35210,19.20670,0.08922
1,112.00000,-0.35210,19.24390,0.08928
1,112.10000,-0.35210,19.28100,0.08934
1,112.20000,-0.35210,19.31830,0.08941
1,112.30000,-0.35210,19.35560,0.08947
1,112.40000,-0.35210,19.39300,0.08953
1,112.50000,-0.35210,19.43040,0.08960
1,112.60000,-0.35210,19.46790,0.08966
1,112.70000,-0.35210,19.50550,0.08972
1,112.80000,-0.35210,19.54310,0.08979
1,112.90000,-0.35210,19.58070,0.08985
1,113.00000,-0.35210,19.61850,0.08991
1,113.10000,-0.35210,19.65630,0.08997
1,113.20000,-0.35210,19.69410,0.09004
1,113.30000,-0.35210,19.73210,0.09010
1,113.40000,-0.35210,19.77000,0.09016
1,113.50000,-0.35210,19.80810,0.09022
1,113.60000,-0.35210,19.84610,0.09029
1,113.70000,-0.35210,19.88430,0.09035
1,113.80000,-0.35210,19.92250,0.09041
1,113.90000,-0.35210,19.96070,0.09047
1,114.00000,-0.35210,19.99900,0.09054
1,114.10000,-0.35210,20.03730,0.09060
1,114.20000,-0.35210,20.07570,0.09066
1,114.30000,-0.35210,20.11420,0.09072
1,114.40000,-0.35210,20.15270,0.09079
1,114.50000,-0.35210,20.19120,0.09085
1,114.60000,-0.35210,20.22980,0.09091
1,114.70000,-0.35210,20.26840,0.09097
1,114.80000,-0.35210,20.30710,0.09103
1,114.90000,-0.35210,20.34580,0.09110
1,115.00000,-0.35210,20.38460,0.09116
1,115.10000,-0.35210,20.42330,0.09122
1,115.20000,-0.35210,20.46220,0.09128
1,115.30000,-0.35210,20.50100,0.09134
1,115.40000,-0.35210,20.54000,0.09140
1,115.50000,-0.35210,20.57890,0.09147
1,115.60000,-0.35210,20.61790,0.09153
1,115.70000,-0.35210,20.65690,0.09159
1,115.80000,-0.35210,20.69590,0.09165
1,115.90000,-0.35210,20.73500,0.09171
1,116.00000,-0.35210,20.77410,0.09177
1,116.10000,-0.35210,20.81320,0.09183
1,116.20000,-0.35210,20.85240,0.09190
1,116.30000,-0.35210,20.89160,0.09196
1,116.40000,-0.35210,20.93080,0.09202
1,116.50000,-0.35210,20.97000,0.09208
1,116.60000,-0.35210,21.00930,0.09214
1,116.70000,-0.35210,21.04860,0.09220
1,116.80000,-0.35210,21.08790,0.09227
1,116.90000,-0.35210,21.12720,0.09233
1,117.00000,-0.35210,21.16660,0.09239
1,117.10000,-0.35210,21.20590,0.09245
1,117.20000,-0.35210,21.24530,0.09251
1,117.30000,-0.35210,21.28470,0.09257
1,117.40000,-0.35210,21.32420,0.09263
1,117.50000,-0.35210,21.36360,0.09270
1,117.60000,-0.35210,21.40310,0.09276
1,117.70000,-0.35210,21.44260,0.09282
1,117.80000,-0.35210,21.48200,0.09288
1,117.90000,-0.35210,21.52150,0.09294
1,118.00000,-0.35210,21.56110,0.09300
1,118.10000,-0.35210,21.60060,0.09307
1,118.20000,-0.35210,21.64010,0.09313
1,118.30000,-0.35210,21.67970,0.09319
1,118.40000,-0.35210,21.71930,0.09325
1,118.50000,-0.35210,21.75880,0.09331
1,118.60000,-0.35210,21.79840,0.09338
1,118.70000,-0.35210,21.83800,0.09344
1,118.80000,-0.35210,21.87760,0.09350
1,118.90000,-0.35210,21.91720,0.09356
1,119.00000,-0.35210,21.95680,0.09362
1,119.10000,-0.35210,21.99640,0.09368
1,119.20000,-0.35210,22.03600,0.09375
1,119.30000,-0.35210,22.07570,0.09381
1,119.40000,-0.35210,22.11530,0.09387
1,119.50000,-0.35210,22.15490,0.09393
1,119.60000,-0.35210,22.19450,0.09399
1,119.70000,-0.35210,22.23410,0.09406
1,119.80000,-0.35210,22.27380,0.09412
1,119.90000,-0.35210,22.31340,0.09418
1,120.00000,-0.35210,22.35300,0.09424
2,65.00000,-0.38330,7.24020,0.09113
2,65.10000,-0.38330,7.26270,0.09112
2,65.20000,-0.38330,7.28520,0.09111
2,65.30000,-0.38330,7.30760,0.09110
2,65.40000,-0.38330,7.33000,0.09109
2,65.50000,-0.38330,7.35230,0.09109
2,65.60000,-0.38330,7.37450,0.09108
2,65.70000,-0.38330,7.39670,0.09107
2,65.80000,-0.38330,7.41890,0.09106
2,65.90000,-0.38330,7.44100,0.09105
2,66.00000,-0.38330,7.46300,0.09104
2,66.10000,-0.38330,7.48500,0.09103
2,66.20000,-0.38330,7.50690,0.09102
2,66.30000,-0.38330,7.52880,0.09101
2,66.40000,-0.38330,7.55070,0.09100
2,66.50000,-0.38330,7.57240,0.09099
2,66.60000,-0.38330,7.59420,0.09098
2,66.70000,-0.38330,7.61580,0.09097
2,66.80000,-0.38330,7.63750,0.09096
2,66.90000,-0.38330,7.65900,0.09095
2,67.00000,-0.38330,7.68060,0.09094
2,67.10000,-0.38330,7.70200,0.09093
2,67.20000,-0.38330,7.72340,0.09091
2,67.30000,-0.38330,7.74480,0.09090
2,67.40000,-0.38330,7.76610,0.09089
2,67.50000,-0.38330,7.78740,0.09088
2,67.60000,-0.38330,7.80860,0.09087
2,67.70000,-0.38330,7.82980,0.09086
2,67.80000,-0.38330,7.85090,0.09085
2,67.90000,-0.38330,7.87200,0.09084
2,68.00000,-0.38330,7.89300,0.09083
2,68.10000,-0.38330,7.91400,0.09082
2,68.20000,-0.38330,7.93500,0.09080
2,68.30000,-0.38330,7.95590,0.09079
2,68.40000,-0.38330,7.97680,0.09078
2,68.50000,-0.38330,7.99760,0.09077
2,68.60000,-0.38330,8.01840,0.09076
2,68.70000,-0.38330,8.03920,0.09075
2,68.80000,-0.38330,8.05990,0.09074
