sex,age_days,l,m,s
1,268,0.09370,8.84750,0.10880
1,269,0.09330,8.85670,0.10880
1,270,0.09300,8.86580,0.10880
1,271,0.09270,8.87480,0.10880
1,272,0.09230,8.88390,0.10881
1,273,0.09200,8.89290,0.10881
1,274,0.09170,8.90190,0.10881
1,275,0.09130,8.91090,0.10881
1,276,0.09100,8.91990,0.10881
1,277,0.09070,8.92880,0.10882
1,278,0.09040,8.93770,0.10882
1,279,0.09000,8.94660,0.10882
1,280,0.08970,8.95550,0.10882
1,281,0.08940,8.96430,0.10882
1,282,0.08910,8.97310,0.10883
1,283,0.08870,8.98190,0.10883
1,284,0.08840,8.99070,0.10883
1,285,0.08810,8.99950,0.10884
1,286,0.08780,9.00820,0.10884
1,287,0.08750,9.01690,0.10884
1,288,0.08710,9.02560,0.10884
1,289,0.08680,9.03420,0.10885
1,290,0.08650,9.04290,0.10885
1,291,0.08620,9.05150,0.10885
1,292,0.08590,9.06010,0.10886
1,293,0.08560,9.06870,0.10886
1,294,0.08520,9.07720,0.10887
1,295,0.08490,9.08580,0.10887
1,296,0.08460,9.09430,0.10887
1,297,0.08430,9.10280,0.10888
1,298,0.08400,9.11130,0.10888
1,299,0.08370,9.11980,0.10888
1,300,0.08340,9.12820,0.10889
1,301,0.08310,9.13660,0.10889
1,302,0.08270,9.14500,0.10890
1,303,0.08240,9.15340,0.10890
1,304,0.08210,9.16180,0.10890
1,305,0.08180,9.17010,0.10891
1,306,0.08150,9.17850,0.10891
1,307,0.08120,9.18680,0.10892
1,308,0.08090,9.19510,0.10892
1,309,0.08060,9.20340,0.10893
1,310,0.08030,9.21170,0.10893
1,311,0.08000,9.21990,0.10894
1,312,0.07970,9.22820,0.10894
1,313,0.07940,9.23640,0.10894
1,314,0.07910,9.24460,0.10895
1,315,0.07880,9.25280,0.10895
1,316,0.07850,9.26100,0.10896
1,317,0.07820,9.26910,0.10896
1,318,0.07790,9.27730,0.10897
1,319,0.07760,9.28540,0.10897
1,320,0.07730,9.29350,0.10898
1,321,0.07700,9.30160,0.10898
1,322,0.07670,9.30970,0.10899
1,323,0.07640,9.31780,0.10899
1,324,0.07610,9.32580,0.10900
1,325,0.07580,9.33390,0.10901
1,326,0.07550,9.34190,0.10901
1,327,0.07520,9.34990,0.10902
1,328,0.07490,9.35790,0.10902
1,329,0.07460,9.36590,0.10903
1,330,0.07440,9.37390,0.10903
1,331,0.07410,9.38190,0.10904
1,332,0.07380,9.38980,0.10904
1,333,0.07350,9.39780,0.10905
1,334,0.07320,9.40570,0.10905
1,335,0.07290,9.41360,0.10906
1,336,0.07260,9.42150,0.10907
1,337,0.07230,9.42940,0.10907
1,338,0.07200,9.43730,0.10908
1,339,0.07180,9.44520,0.10908
1,340,0.07150,9.45300,0.10909
1,341,0.07120,9.46090,0.10910
1,342,0.07090,9.46870,0.10910
1,343,0.07060,9.47650,0.10911
1,344,0.07030,9.48440,0.10911
1,345,0.07010,9.49220,0.10912
1,346,0.06980,9.49990,0.10913
1,347,0.06950,9.50770,0.10913
1,348,0.06920,9.51550,0.10914
1,349,0.06890,9.52320,0.10915
1,350,0.06860,9.53100,0.10915
1,351,0.06840,9.53870,0.10916
1,352,0.06810,9.54640,0.10916
1,353,0.06780,9.55420,0.10917
1,354,0.06750,9.56190,0.10918
1,355,0.06720,9.56960,0.10918
1,356,0.06700,9.57720,0.10919
1,357,0.06670,9.58490,0.10920
1,358,0.06640,9.59260,0.10920
1,359,0.06610,9.60020,0.10921
1,360,0.06590,9.60790,0.10922
1,361,0.06560,9.61550,0.10922
1,362,0.06530,9.62310,0.10923
1,363,0.06500,9.63080,0.10924
1,364,0.06480,9.63840,0.10925
1,365,0.06450,9.64600,0.10925
1,366,0.06420,9.65350,0.10926
1,367,0.06400,9.66110,0.10927
1,368,0.06370,9.66870,0.10927
1,369,0.06340,9.67630,0.10928
1,370,0.06310,9.68380,0.10929
1,371,0.06290,9.69140,0.10930
1,372,0.06260,9.69890,0.10930
1,373,0.06230,9.70640,0.10931
1,374,0.06210,9.71390,0.10932
1,375,0.06180,9.72140,0.10933
1,376,0.06150,9.72890,0.10933
1,377,0.06130,9.73640,0.10934
1,378,0.06100,9.74390,0.10935
1,379,0.06070,9.75140,0.10936
1,380,0.06050,9.75880,0.10936
1,381,0.06020,9.76630,0.10937
1,382,0.05990,9.77380,0.10938
1,383,0.05970,9.78120,0.10939
1,384,0.05940,9.78860,0.10939
1,385,0.05910,9.79600,0.10940
1,386,0.05890,9.80350,0.10941
1,387,0.05860,9.81090,0.10942
1,388,0.05830,9.81830,0.10943
1,389,0.05810,9.82570,0.10943
1,390,0.05780,9.83300,0.10944
1,391,0.05760,9.84040,0.10945
1,392,0.05730,9.84780,0.10946
1,393,0.05700,9.85510,0.10947
1,394,0.05680,9.86250,0.10948
1,395,0.05650,9.86990,0.10948
1,396,0.05630,9.87720,0.10949
1,397,0.05600,9.88450,0.10950
1,398,0.05570,9.89180,0.10951
1,399,0.05550,9.89920,0.10952
1,400,0.05520,9.90650,0.10953
1,401,0.05500,9.91380,0.10954
1,402,0.05470,9.92110,0.10954
1,403,0.05450,9.92840,0.10955
1,404,0.05420,9.93570,0.10956
1,405,0.05400,9.94290,0.10957
1,406,0.05370,9.95020,0.10958
1,407,0.05340,9.95750,0.10959
1,408,0.05320,9.96470,0.10960
1,409,0.05290,9.97200,0.10961
1,410,0.05270,9.97920,0.10961
1,411,0.05240,9.98650,0.10962
1,412,0.05220,9.99370,0.10963
1,413,0.05190,10.00090,0.10964
1,414,0.05170,10.00820,0.10965
1,415,0.05140,10.01540,0.10966
1,416,0.05120,10.02260,0.10967
1,417,0.05090,10.02980,0.10968
1,418,0.05070,10.03700,0.10969
1,419,0.05040,10.04420,0.10970
