sex,length_cm,l,m,s
1,78.00000,-0.35210,10.08270,0.08318
1,78.10000,-0.35210,10.10110,0.08318
1,78.20000,-0.35210,10.11940,0.08318
1,78.30000,-0.35210,10.13770,0.08318
1,78.40000,-0.35210,10.15590,0.08318
1,78.50000,-0.35210,10.17410,0.08318
1,78.60000,-0.35210,10.19230,0.08317
1,78.70000,-0.35210,10.21050,0.08317
1,78.80000,-0.35210,10.22860,0.08317
1,78.90000,-0.35210,10.24680,0.08316
1,79.00000,-0.35210,10.26490,0.08316
1,79.10000,-0.35210,10.28310,0.08315
1,79.20000,-0.35210,10.30120,0.08315
1,79.30000,-0.35210,10.31940,0.08314
1,79.40000,-0.35210,10.33760,0.08313
1,79.50000,-0.35210,10.35580,0.08313
1,79.60000,-0.35210,10.37410,0.08312
1,79.70000,-0.35210,10.39230,0.08311
1,79.80000,-0.35210,10.41070,0.08310
1,79.90000,-0.35210,10.42910,0.08309
1,80.00000,-0.35210,10.44750,0.08308
1,80.10000,-0.35210,10.46600,0.08307
1,80.20000,-0.35210,10.48450,0.08305
1,80.30000,-0.35210,10.50310,0.08304
1,80.40000,-0.35210,10.52170,0.08303
1,80.50000,-0.35210,10.54050,0.08301
1,80.60000,-0.35210,10.55920,0.08300
1,80.70000,-0.35210,10.57810,0.08298
1,80.80000,-0.35210,10.59700,0.08297
1,80.90000,-0.35210,10.61610,0.08295
1,81.00000,-0.35210,10.63520,0.08293
1,81.10000,-0.35210,10.65440,0.08291
1,81.20000,-0.35210,10.67370,0.08290
1,81.30000,-0.35210,10.69310,0.08288
1,81.40000,-0.35210,10.71260,0.08286
1,81.50000,-0.35210,10.73220,0.08284
1,81.60000,-0.35210,10.75200,0.08282
1,81.70000,-0.35210,10.77180,0.08279
1,81.80000,-0.35210,10.79180,0.08277
1,81.90000,-0.35210,10.81190,0.08275
1,82.00000,-0.35210,10.83210,0.08273
1,82.10000,-0.35210,10.85240,0.08270
1,82.20000,-0.35210,10.87280,0.08268
1,82.30000,-0.35210,10.89340,0.08265
1,82.40000,-0.35210,10.91420,0.08263
1,82.50000,-0.35210,10.93500,0.08260
1,82.60000,-0.35210,10.95600,0.08258
1,82.70000,-0.35210,10.97720,0.08255
1,82.80000,-0.35210,10.99850,0.08252
1,82.90000,-0.35210,11.01990,0.08249
1,83.00000,-0.35210,11.04150,0.08246
1,83.10000,-0.35210,11.06320,0.08244
1,83.20000,-0.35210,11.08510,0.08241
1,83.30000,-0.35210,11.10710,0.08238
1,83.40000,-0.35210,11.12930,0.08235
1,83.50000,-0.35210,11.15160,0.08231
1,83.60000,-0.35210,11.17400,0.08228
1,83.70000,-0.35210,11.19660,0.08225
1,83.80000,-0.35210,11.21930,0.08222
1,83.90000,-0.35210,11.24220,0.08219
1,84.00000,-0.35210,11.26510,0.08215
1,84.10000,-0.35210,11.28820,0.08212
1,84.20000,-0.35210,11.31140,0.08209
1,84.30000,-0.35210,11.33470,0.08205
1,84.40000,-0.35210,11.35810,0.08202
1,84.50000,-0.35210,11.38170,0.08198
1,84.60000,-0.35210,11.40530,0.08195
1,84.70000,-0.35210,11.42900,0.08191
1,84.80000,-0.35210,11.45290,0.08188
1,84.90000,-0.35210,11.47680,0.08184
1,85.00000,-0.35210,11.50070,0.08181
1,85.10000,-0.35210,11.52480,0.08177
1,85.20000,-0.35210,11.54900,0.08174
1,85.30000,-0.35210,11.57320,0.08170
1,85.40000,-0.35210,11.59750,0.08166
1,85.50000,-0.35210,11.62180,0.08163
1,85.60000,-0.35210,11.64620,0.08159
1,85.70000,-0.35210,11.67070,0.08156
1,85.80000,-0.35210,11.69520,0.08152
1,85.90000,-0.35210,11.71980,0.08148
1,86.00000,-0.35210,11.74440,0.08145
1,86.10000,-0.35210,11.76900,0.08141
1,86.20000,-0.35210,11.79370,0.08138
1,86.30000,-0.35210,11.81840,0.08134
1,86.40000,-0.35210,11.84310,0.08131
1,86.50000,-0.35210,11.86780,0.08128
1,86.60000,-0.35210,11.89260,0.08124
1,86.70000,-0.35210,11.91730,0.08121
1,86.80000,-0.35210,11.94210,0.08118
1,86.90000,-0.35210,11.96680,0.08114
1,87.00000,-0.35210,11.99160,0.08111
1,87.10000,-0.35210,12.01630,0.08108
1,87.20000,-0.35210,12.04110,0.08105
1,87.30000,-0.35210,12.06580,0.08102
1,87.40000,-0.35210,12.09050,0.08099
1,87.50000,-0.35210,12.11520,0.08096
1,87.60000,-0.35210,12.13980,0.08093
1,87.70000,-0.35210,12.16450,0.08090
1,87.80000,-0.35210,12.18910,0.08087
1,87.90000,-0.35210,12.21360,0.08084
1,88.00000,-0.35210,12.23820,0.08082
1,88.10000,-0.35210,12.26270,0.08079
1,88.20000,-0.35210,12.28710,0.08076
1,88.30000,-0.35210,12.31160,0.08074
1,88.40000,-0.35210,12.33600,0.08071
1,88.50000,-0.35210,12.36030,0.08069
1,88.60000,-0.35210,12.38460,0.08067
1,88.70000,-0.35210,12.40890,0.08064
1,88.80000,-0.35210,12.43320,0.08062
1,88.90000,-0.35210,12.45740,0.08060
1,89.00000,-0.35210,12.48150,0.08058
1,89.10000,-0.35210,12.50570,0.08056
1,89.20000,-0.35210,12.52980,0.08054
1,89.30000,-0.35210,12.55380,0.08052
1,89.40000,-0.35210,12.57780,0.08050
1,89.50000,-0.35210,12.60170,0.08048
1,89.60000,-0.35210,12.62570,0.08047
1,89.70000,-0.35210,12.64950,0.08045
1,89.80000,-0.35210,12.67340,0.08044
1,89.90000,-0.35210,12.69720,0.08042
1,90.00000,-0.35210,12.72090,0.08041
1,90.10000,-0.35210,12.74460,0.08039
1,90.20000,-0.35210,12.76830,0.08038
1,90.30000,-0.35210,12.79200,0.08037
1,90.40000,-0.35210,12.81560,0.08035
1,90.50000,-0.35210,12.83920,0.08034
1,90.60000,-0.35210,12.86280,0.08033
1,90.70000,-0.35210,12.88640,0.08032
1,90.80000,-0.35210,12.90990,0.08031
1,90.90000,-0.35210,12.93340,0.08030
1,91.00000,-0.35210,12.95690,0.08030
1,91.10000,-0.35210,12.98040,0.08029
1,91.20000,-0.35210,13.00380,0.08028
1,91.30000,-0.35210,13.02730,0.08027
1,91.40000,-0.35210,13.05070,0.08027
1,91.50000,-0.35210,13.07420,0.08026
1,91.60000,-0.35210,13.09760,0.08026
1,91.70000,-0.35210,13.12090,0.08025
1,91.80000,-0.35210,13.14430,0.08025
1,91.90000,-0.35210,13.16770,0.08025
1,92.00000,-0.35210,13.19100,0.08025
1,92.10000,-0.35210,13.21430,0.08025
1,92.20000,-0.35210,13.23760,0.08024
1,92.30000,-0.35210,13.26090,0.08024
1,92.40000,-0.35210,13.28420,0.08024
1,92.50000,-0.35210,13.30750,0.08025
1,92.60000,-0.35210,13.33080,0.08025
1,92.70000,-0.35210,13.35410,0.08025
1,92.80000,-0.35210,13.37730,0.08025
1,92.90000,-0.35210,13.40060,0.08026
1,93.00000,-0.35210,13.42390,0.08026
1,93.10000,-0.35210,13.44720,0.08027
1,93.20000,-0.35210,13.47050,0.08027
1,93.30000,-0.35210,13.49370,0.08028
1,93.40000,-0.35210,13.51710,0.08028
1,93.50000,-0.35210,13.54040,0.08029
1,93.60000,-0.35210,13.56370,0.08030
1,93.70000,-0.35210,13.58700,0.08031
1,93.80000,-0.35210,13.61040,0.08032
1,93.90000,-0.35210,13.63380,0.08033
1,94.00000,-0.35210,13.65720,0.08034
1,94.10000,-0.35210,13.68060,0.08035
1,94.20000,-0.35210,13.70410,0.08036
1,94.30000,-0.35210,13.72750,0.08037
1,94.40000,-0.35210,13.75100,0.08038
1,94.50000,-0.35210,13.77460,0.08040
1,94.60000,-0.35210,13.79810,0.08041
1,94.70000,-0.35210,13.82170,0.08043
1,94.80000,-0.35210,13.84540,0.08044
1,94.90000,-0.35210,13.86910,0.08046
1,95.00000,-0.35210,13.89280,0.08047
1,95.10000,-0.35210,13.91650,0.08049
1,95.20000,-0.35210,13.94030,0.08051
1,95.30000,-0.35210,13.96420,0.08052
1,95.40000,-0.35210,13.98810,0.08054
1,95.50000,-0.35210,14.01200,0.08056
1,95.60000,-0.35210,14.03600,0.08058
1,95.70000,-0.35210,14.06000,0.08060
1,95.80000,-0.35210,14.08410,0.08062
1,95.90000,-0.35210,14.10830,0.08064
1,96.00000,-0.35210,14.13250,0.08067
1,96.10000,-0.35210,14.15670,0.08069
1,96.20000,-0.35210,14.18110,0.08071
1,96.30000,-0.35210,14.20550,0.08073
1,96.40000,-0.35210,14.22990,0.08076
1,96.50000,-0.35210,14.25440,0.08078
1,96.60000,-0.35210,14.27900,0.08081
1,96.70000,-0.35210,14.30370,0.08083
1,96.80000,-0.35210,14.32840,0.08086
1,96.90000,-0.35210,14.35330,0.08089
1,97.00000,-0.35210,14.37820,0.08092
1,97.10000,-0.35210,14.40310,0.08094
1,97.20000,-0.35210,14.42820,0.08097
